協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
JJE27,国内教室環境,中国語,26.0,男性,209,N2
JJE22,国内教室環境,中国語,26.0,男性,195,N3
JJC55,国内教室環境,中国語,21.0,女性,196,N3
JJE37,国内教室環境,中国語,33.0,女性,205,N2
JJC14,国内教室環境,中国語,20.0,女性,204,N2
JJE39,国内教室環境,中国語,25.0,男性,199,N3
JJC56,国内教室環境,中国語,21.0,男性,201,N2
JJE62,国内教室環境,中国語,24.0,女性,200,N2
KKR43,韓国語,韓国語,23.0,男性,355,N1
KKD28,韓国語,韓国語,21.0,女性,352,N1
KKR13,韓国語,韓国語,24.0,男性,346,N1
KKD09,韓国語,韓国語,23.0,女性,345,N1
KKR22,韓国語,韓国語,23.0,女性,340,N1
KKR05,韓国語,韓国語,23.0,男性,335,N1
KKD25,韓国語,韓国語,26.0,男性,333,N1
KKD07,韓国語,韓国語,22.0,女性,332,N1
KKD16,韓国語,韓国語,19.0,女性,330,N1
KKR26,韓国語,韓国語,23.0,女性,328,N1
KKD11,韓国語,韓国語,31.0,男性,327,N1
KKR31,韓国語,韓国語,20.0,女性,325,N1
KKD27,韓国語,韓国語,26.0,男性,324,N1
KKR44,韓国語,韓国語,26.0,女性,321,N1
KKD01,韓国語,韓国語,23.0,女性,320,N1
KKD37,韓国語,韓国語,30.0,女性,318,N1
KKR24,韓国語,韓国語,23.0,男性,317,N1
JJC37,国内教室環境,韓国語,31.0,女性,316,N1
KKD29,韓国語,韓国語,24.0,男性,92,N5
KKR33,韓国語,韓国語,20.0,女性,310,N1
KKD33,韓国語,韓国語,23.0,男性,309,N1
KKR20,韓国語,韓国語,22.0,女性,309,N1
KKD08,韓国語,韓国語,31.0,女性,303,N1
KKR10,韓国語,韓国語,24.0,男性,301,N1
KKD21,韓国語,韓国語,23.0,男性,299,N1
KKR28,韓国語,韓国語,23.0,男性,298,N1
KKR29,韓国語,韓国語,23.0,女性,297,N1
KKD54,韓国語,韓国語,25.0,男性,296,N1
KKR38,韓国語,韓国語,23.0,女性,296,N1
KKD12,韓国語,韓国語,25.0,女性,295,N1
JJN59,国内自然習得,韓国語,51.0,女性,294,N1
KKD23,韓国語,韓国語,24.0,男性,294,N1
KKR21,韓国語,韓国語,20.0,女性,292,N1
JJC43,国内教室環境,韓国語,24.0,女性,291,N1
KKR56,韓国語,韓国語,,男性,287,N1
KKR34,韓国語,韓国語,22.0,女性,286,N1
KKR12,韓国語,韓国語,25.0,男性,285,N1
KKR40,韓国語,韓国語,28.0,男性,285,N1
KKD53,韓国語,韓国語,26.0,男性,283,N1
KKR16,韓国語,韓国語,23.0,女性,283,N1
KKD30,韓国語,韓国語,19.0,男性,125,N4
KKD19,韓国語,韓国語,26.0,男性,126,N4
KKR45,韓国語,韓国語,20.0,女性,279,N1
KKR54,韓国語,韓国語,24.0,男性,279,N1
KKR52,韓国語,韓国語,27.0,男性,278,N1
KKD60,韓国語,韓国語,22.0,男性,129,N4
KKR39,韓国語,韓国語,24.0,男性,277,N1
KKD17,韓国語,韓国語,25.0,男性,131,N4
KKD59,韓国語,韓国語,22.0,女性,274,N1
KKD48,韓国語,韓国語,24.0,男性,268,N1
JJC51,国内教室環境,韓国語,22.0,女性,267,N1
KKR46,韓国語,韓国語,25.0,男性,267,N1
KKD02,韓国語,韓国語,20.0,男性,266,N1
KKD15,韓国語,韓国語,20.0,男性,264,N1
KKR03,韓国語,韓国語,27.0,男性,264,N1
KKR41,韓国語,韓国語,21.0,女性,264,N1
KKD49,韓国語,韓国語,23.0,女性,263,N1
KKR08,韓国語,韓国語,28.0,女性,261,N1
JJC50,国内教室環境,韓国語,23.0,女性,260,N1
JJN58,国内自然習得,韓国語,41.0,女性,260,N1
KKD57,韓国語,韓国語,27.0,男性,145,N4
KKD05,韓国語,韓国語,26.0,女性,259,N1
KKR04,韓国語,韓国語,21.0,女性,259,N1
KKR06,韓国語,韓国語,20.0,男性,259,N1
JJN33,国内自然習得,韓国語,35.0,女性,258,N1
KKD24,韓国語,韓国語,23.0,女性,256,N1
KKD40,韓国語,韓国語,23.0,女性,255,N1
KKR15,韓国語,韓国語,23.0,男性,255,N1
KKR58,韓国語,韓国語,21.0,女性,254,N1
KKR23,韓国語,韓国語,25.0,男性,251,N1
KKD04,韓国語,韓国語,26.0,男性,250,N1
KKR17,韓国語,韓国語,26.0,女性,250,N1
KKR30,韓国語,韓国語,23.0,女性,250,N1
JJN56,国内自然習得,韓国語,39.0,女性,249,N2
KKD35,韓国語,韓国語,24.0,女性,249,N2
KKR36,韓国語,韓国語,20.0,男性,248,N2
KKR47,韓国語,韓国語,23.0,男性,248,N2
KKD20,韓国語,韓国語,28.0,男性,246,N2
JJE68,国内教室環境,韓国語,27.0,男性,245,N2
KKR50,韓国語,韓国語,23.0,女性,244,N2
KKR11,韓国語,韓国語,20.0,女性,243,N2
KKR51,韓国語,韓国語,22.0,女性,243,N2
KKR35,韓国語,韓国語,26.0,男性,242,N2
KKR53,韓国語,韓国語,24.0,女性,241,N2
KKR25,韓国語,韓国語,21.0,女性,163,N3
KKD46,韓国語,韓国語,19.0,男性,240,N2
KKD52,韓国語,韓国語,21.0,女性,166,N3
KKR49,韓国語,韓国語,24.0,女性,239,N2
KKD50,韓国語,韓国語,25.0,男性,238,N2
KKD41,韓国語,韓国語,21.0,女性,235,N2
KKR14,韓国語,韓国語,26.0,女性,235,N2
JJE70,国内教室環境,韓国語,20.0,女性,232,N2
KKD10,韓国語,韓国語,25.0,女性,231,N2
